"Date","Value"
"1961-07",13505
"1961-08",14419
"1961-09",12877
"1961-10",16058
"1961-11",19290
"1961-12",13733
"1962-01",13352
"1962-02",17925
"1962-03",21154
"1962-04",18059
"1962-05",23488
"1962-06",18103
"1962-07",22260
"1962-08",27330
"1962-09",25838
"1962-10",28509
"1962-11",28822
"1962-12",21374
"1963-01",21159
"1963-02",25025
"1963-03",22686
"1963-04",22487
"1963-05",26735
"1963-06",21419
"1963-07",26574
"1963-08",26728
"1963-09",26772
"1963-10",26816
"1963-11",28513
"1963-12",21135
"1964-01",14144
"1964-02",27832
"1964-03",28000
"1964-04",31817
"1964-05",30827
"1964-06",30273
"1964-07",32720
"1964-08",28301
"1964-09",31538
"1964-10",21361
"1964-11",29189
"1964-12",23431
"1965-01",12536
"1965-02",24562
"1965-03",34009
"1965-04",30543
"1965-05",33533
"1965-06",32866
"1965-07",28827
"1965-08",29022
"1965-09",28421
"1965-10",23009
"1965-11",26692
"1965-12",19909
"1966-01",8785
"1966-02",21342
"1966-03",27641
"1966-04",24821
"1966-05",28107
"1966-06",27149
"1966-07",24151
"1966-08",25282
"1966-09",22021
"1966-10",22353
"1966-11",26386
"1966-12",21643
"1967-01",13877
"1967-02",27252
"1967-03",28752
"1967-04",26315
"1967-05",31460
"1967-06",26755
"1967-07",26474
"1967-08",28043
"1967-09",24805
"1967-10",30010
"1967-11",30928
"1967-12",19243
"1968-01",13441
"1968-02",33235
"1968-03",35461
"1968-04",30314
"1968-05",32206
"1968-06",25919
"1968-07",31192
"1968-08",30453
"1968-09",29930
"1968-10",32430
"1968-11",29304
"1968-12",21175
"1969-01",14998
"1969-02",27222
"1969-03",31062
"1969-04",29498
"1969-05",33186
"1969-06",31405
"1969-07",36537
"1969-08",34714
"1969-09",36861
"1969-10",38137
"1969-11",28926
"1969-12",28590
"1970-01",16199
"1970-02",35081
"1970-03",33993
"1970-04",36715
"1970-05",34743
"1970-06",33635
"1970-07",36441
"1970-08",31749
"1970-09",34085
"1970-10",34176
"1970-11",35892
"1970-12",29240
"1971-01",13926
"1971-02",31083
"1971-03",34678
"1971-04",31040
"1971-05",32569
"1971-06",29654
"1971-07",35592
"1971-08",39652
"1971-09",39674
"1971-10",37991
"1971-11",38817
"1971-12",26566
"1972-01",11239
"1972-02",20202
"1972-03",33683
"1972-04",30653
"1972-05",37288
"1972-06",36104
"1972-07",33151
"1972-08",36336
"1972-09",31696
"1972-10",35065
"1972-11",33313
"1972-12",27114
"1973-01",16503
"1973-02",31871
"1973-03",36661
"1973-04",29520
"1973-05",34157
"1973-06",27015
"1973-07",31567
"1973-08",40177
"1973-09",35742
"1973-10",37479
"1973-11",31978
"1973-12",28722
"1974-01",12965
"1974-02",33563
"1974-03",36023
"1974-04",33655
"1974-05",37889
"1974-06",35260
"1974-07",38718
"1974-08",35226
"1974-09",36954
"1974-10",36332
"1974-11",30602
"1974-12",23016
"1975-01",10704
"1975-02",27891
"1975-03",26589
"1975-04",29007
"1975-05",34787
"1975-06",31563
"1975-07",33175
"1975-08",31008
"1975-09",34097
"1975-10",35598
"1975-11",28769
"1975-12",27779
"1976-01",10284
"1976-02",31740
"1976-03",35850
"1976-04",29464
"1976-05",35950
"1976-06",34625
"1976-07",32752
"1976-08",32645
"1976-09",39380
"1976-10",35709
"1976-11",38089
"1976-12",28543
"1977-01",8100
"1977-02",29545
"1977-03",33671
"1977-04",26963
"1977-05",33047
"1977-06",28828
"1977-07",27306
"1977-08",29387
"1977-09",28764
"1977-10",13744
"1977-11",33166
"1977-12",23874
"1978-01",10892
"1978-02",28540
"1978-03",31090
"1978-04",27450
"1978-05",32522
"1978-06",28657
"1978-07",31845
"1978-08",25093
"1978-09",31514
"1978-10",34693
"1978-11",36431
"1978-12",27762
"1979-01",10545
"1979-02",32313
"1979-03",36743
"1979-04",26972
"1979-05",43134
"1979-06",38029
"1979-07",37981
"1979-08",40268
"1979-09",35586
"1979-10",38296
"1979-11",37737
"1979-12",25584
"1980-01",9305
"1980-02",30470
"1980-03",28923
"1980-04",22534
"1980-05",30937
"1980-06",25711
"1980-07",31002
"1980-08",25877
"1980-09",29124
"1980-10",30547
"1980-11",28683
"1980-12",24935
"1981-01",10951
"1981-02",28835
"1981-03",28764
"1981-04",25863
"1981-05",32391
"1981-06",32131
"1981-07",34359
"1981-08",33641
"1981-09",32368
"1981-10",28172
"1981-11",36915
"1981-12",33994
"1982-01",10980
"1982-02",30891
"1982-03",39417
"1982-04",29767
"1982-05",35858
"1982-06",37866
"1982-07",38794
"1982-08",38836
"1982-09",34065
"1982-10",30978
"1982-11",28700
"1982-12",22826
"1983-01",3824
"1983-02",29054
"1983-03",29359
"1983-04",23272
"1983-05",27599
"1983-06",27378
"1983-07",29487
"1983-08",31917
"1983-09",30937
"1983-10",28290
"1983-11",32333
"1983-12",23789
"1984-01",11410
"1984-02",28432
"1984-03",35260
"1984-04",24786
"1984-05",36765
"1984-06",28910
"1984-07",34863
"1984-08",37495
"1984-09",34093
"1984-10",35150
"1984-11",35702
"1984-12",27527
"1985-01",10619
"1985-02",29035
"1985-03",32961
"1985-04",27045
"1985-05",36310
"1985-06",35012
"1985-07",41778
"1985-08",39642
"1985-09",35529
"1985-10",39332
"1985-11",32667
"1985-12",23833
"1986-01",11861
"1986-02",27545
"1986-03",28654
"1986-04",23425
"1986-05",31149
"1986-06",29349
"1986-07",32447
"1986-08",27964
"1986-09",27242
"1986-10",27754
"1986-11",27760
"1986-12",22540
"1987-01",6509
"1987-02",25787
