"Year","Month","Value"
1943,11,20.6
1943,12,23
1944,1,26.6
1944,2,26.2
1944,3,24
1944,4,21.9
1944,5,18.4
1944,6,15.6
1944,7,15.9
1944,8,16.4
1944,9,19.8
1944,10,23.1
1944,11,25.6
1944,12,26.1
1945,1,24.6
1945,2,24.9
1945,3,24.7
1945,4,22.2
1945,5,18.9
1945,6,16.9
1945,7,15.4
1945,8,18.5
1945,9,19.8
1945,10,21.6
1945,11,24.7
1945,12,24.7
1946,1,27.5
1946,2,26.1
1946,3,24.1
1946,4,20.4
1946,5,19.7
1946,6,16.3
1946,7,18.3
1946,8,19.4
1946,9,19.8
1946,10,20.5
1946,11,23.6
1946,12,25.4
1947,1,25.1
1947,2,25.2
1947,3,24.6
1947,4,21.6
1947,5,20.8
1947,6,18.2
1947,7,17.1
1947,8,17.7
1947,9,20.2
1947,10,22.1
1947,11,21.4
1947,12,24.6
1948,1,23.1
1948,2,26.3
1948,3,23.7
1948,4,21
1948,5,19.7
1948,6,16.6
1948,7,16.2
1948,8,19.2
1948,9,20
1948,10,23.6
1948,11,21.5
1948,12,24.4
1949,1,23.9
1949,2,26
1949,3,23.2
1949,4,21
1949,5,19.3
1949,6,15.5
1949,7,17.4
1949,8,18
1949,9,19.1
1949,10,24.4
1949,11,23.3
1949,12,24.9
1950,1,25.8
1950,2,24.4
1950,3,24.6
1950,4,22.2
1950,5,19.1
1950,6,16.8
1950,7,16.6
1950,8,17.6
1950,9,21.7
1950,10,21.3
1950,11,22
1950,12,24.8
1951,1,23.9
1951,2,25.4
1951,3,25.8
1951,4,21.9
1951,5,20
1951,6,17.3
1951,7,17.1
1951,8,17.4
1951,9,21
1951,10,22.4
1951,11,24.1
1951,12,24.8
1952,1,26.7
1952,2,24.7
1952,3,25.2
1952,4,22.3
1952,5,18.8
1952,6,18
1952,7,16.4
1952,8,17.5
1952,9,20.7
1952,10,21.5
1952,11,22.7
1952,12,23.6
1953,1,24.1
1953,2,24.2
1953,3,24.4
1953,4,24.2
1953,5,20
1953,6,17.2
1953,7,17.2
1953,8,17.8
1953,9,20.2
1953,10,20.6
1953,11,24.3
1953,12,26.4
1954,1,24.3
1954,2,26
1954,3,25.3
1954,4,23.8
1954,5,19.2
1954,6,17.4
1954,7,17.1
1954,8,18.6
1954,9,18
1954,10,21.6
1954,11,24.4
1954,12,24.2
1955,1,25.8
1955,2,25.5
1955,3,25.3
1955,4,22.7
1955,5,19.2
1955,6,16.6
1955,7,16.4
1955,8,18.9
1955,9,20.1
1955,10,22.9
1955,11,24.3
1955,12,23.6
1956,1,25.1
1956,2,25.3
1956,3,24.9
1956,4,23.9
1956,5,19.4
1956,6,17.1
1956,7,16.6
1956,8,17.5
1956,9,18.1
1956,10,21.4
1956,11,23.8
1956,12,26
1957,1,24.1
1957,2,24
1957,3,24.1
1957,4,23.5
1957,5,21.1
1957,6,20.3
1957,7,15.7
1957,8,17.3
1957,9,19.6
1957,10,22.4
1957,11,26
1957,12,27.4
1958,1,24.6
1958,2,26.3
1958,3,26.3
1958,4,23.1
1958,5,22.7
1958,6,17.8
1958,7,16.9
1958,8,18.5
1958,9,18.5
1958,10,22.7
1958,11,25.2
1958,12,24
1959,1,25.5
1959,2,26.2
1959,3,25.3
1959,4,23
1959,5,19.4
1959,6,17.8
1959,7,17.3
1959,8,18.5
1959,9,19.9
1959,10,20
1959,11,23.9
1959,12,25.2
1960,1,28.3
1960,2,25.5
1960,3,24.5
1960,4,23.7
1960,5,19.1
1960,6,16.2
1960,7,17.5
1960,8,17.5
1960,9,19.5
1960,10,22.2
1960,11,22.7
1960,12,22.8
1961,1,25.5
1961,2,25.7
1961,3,25.6
1961,4,22.7
1961,5,19.4
1961,6,17.6
1961,7,16.7
1961,8,17.1
1961,9,19.7
1961,10,23.3
1961,11,23.1
1961,12,24.7
1962,1,25.1
1962,2,26.4
1962,3,25.3
1962,4,22.5
1962,5,19.2
1962,6,19.1
1962,7,17.7
1962,8,17.7
1962,9,20.5
1962,10,21.9
1962,11,24.1
1962,12,23.6
1963,1,25.9
1963,2,26.7
1963,3,24.6
1963,4,23
1963,5,20
1963,6,17
1963,7,16.5
1963,8,17.1
1963,9,20.3
1963,10,21.3
1963,11,22.2
1963,12,25.5
1964,1,27.6
1964,2,25.7
1964,3,25.1
1964,4,22.5
1964,5,20.1
1964,6,18.1
1964,7,17.7
1964,8,18.9
1964,9,21.2
1964,10,21.4
1964,11,24.2
1964,12,25.4
1965,1,23.2
1965,2,25.6
1965,3,26.2
1965,4,22.1
1965,5,21.3
1965,6,18.5
1965,7,16.8
1965,8,18.6
1965,9,21.8
1965,10,22.7
1965,11,23.8
1965,12,24.3
1966,1,25.4
1966,2,25.3
1966,3,24.6
1966,4,23.3
1966,5,20.1
1966,6,17.9
1966,7,16.6
1966,8,17.3
1966,9,19.3
1966,10,20.7
1966,11,24.6
1966,12,24.5
1967,1,26.7
1967,2,24.9
1967,3,24
1967,4,23.1
1967,5,20.1
1967,6,17.8
1967,7,17.2
1967,8,17.4
1967,9,19.6
1967,10,21.5
1967,11,24.2
1967,12,24.2
1968,1,25.6
1968,2,26.9
1968,3,26.7
1968,4,25.3
1968,5,19.8
1968,6,16.9
1968,7,16.2
1968,8,18.8
1968,9,20.5
1968,10,24.2
1968,11,26
1968,12,23.7
1969,1,27.4
1969,2,25.5
1969,3,25.3
1969,4,24.4
1969,5,19.7
1969,6,17.4
1969,7,18
1969,8,19.1
1969,9,18.3
1969,10,20.8
1969,11,22.9
1969,12,26.3
1970,1,26.3
1970,2,26.3
1970,3,24.7
1970,4,23.6
1970,5,18.5
1970,6,18.1
1970,7,18.1
1970,8,17.9
1970,9,18.6
1970,10,23.5
1970,11,22.3
1970,12,25.8
1971,1,25.2
1971,2,26.4
1971,3,25.2
1971,4,23.4
1971,5,20.1
1971,6,17.1
1971,7,15.9
1971,8,18.3
1971,9,20.5
1971,10,24.2
1971,11,22.2
1971,12,24.4
1972,1,24.5
1972,2,25.7
1972,3,24.1
1972,4,22.5
1972,5,19.1
1972,6,17.6
1972,7,17.5
1972,8,18.8
1972,9,21.5
1972,10,20.9
1972,11,23
1972,12,27.2
1973,1,26.7
1973,2,26.3
1973,3,25.3
1973,4,24.3
1973,5,21.6
1973,6,17.3
1973,7,18
1973,8,18.1
1973,9,21.6
1973,10,22.5
1973,11,24.5
1973,12,25.9
1974,1,25.5
1974,2,25.6
1974,3,25.2
1974,4,23.4
1974,5,20.2
1974,6,17.4
1974,7,17.5
1974,8,17.6
1974,9,19.4
1974,10,20.9
1974,11,22.1
1974,12,25.3
1975,1,26.2
1975,2,25.9
1975,3,25.5
1975,4,22.1
1975,5,21
1975,6,17.7
1975,7,19
1975,8,18.2
1975,9,20.7
1975,10,22
1975,11,25
1975,12,26.2
1976,1,25
1976,2,26
1976,3,25.2
1976,4,23.2
1976,5,21.3
1976,6,18.4
1976,7,17.4
1976,8,18.3
1976,9,19
1976,10,20.7
1976,11,23.3
1976,12,27.7
1977,1,27.2
1977,2,26.2
1977,3,26.2
